id	name	description	synonyms	organism
A1JQ26	LPTE_YERE8	LPS-assembly lipoprotein LptE (precursor)	[]	NCBI:txid393305
Q5HNB7	PCKA_STAEQ	Phosphoenolpyruvate carboxykinase (ATP)	["PEP carboxykinase", "PEPCK", "PCK", "EC:4.1.1.49"]	NCBI:txid176279
Q5JH71	GLMS_THEKO	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]	["GFAT", "Hexosephosphate aminotransferase", "Glucosamine-6-phosphate synthase", "L-glutamine--D-fructose-6-phosphate amidotransferase", "EC:2.6.1.16", "D-fructose-6-phosphate amidotransferase"]	NCBI:txid69014
B2SU25	RL33_XANOP	50S ribosomal protein L33	[]	NCBI:txid360094
Q68RV9	NU5C_PANGI	NAD(P)H-quinone oxidoreductase subunit 5, chloroplastic	["EC:7.1.1.-", "NAD(P)H dehydrogenase subunit 5", "NADH-plastoquinone oxidoreductase subunit 5"]	NCBI:txid4054
B1MD96	SYP_MYCA9	Proline--tRNA ligase	["EC:6.1.1.15", "Prolyl-tRNA synthetase"]	NCBI:txid561007
Q0KEE2	PYRC_CUPNH	Dihydroorotase	["EC:3.5.2.3", "DHOase"]	NCBI:txid381666
B6I3X5	ATP6_ECOSE	ATP synthase subunit a	["ATP synthase F0 sector subunit a", "F-ATPase subunit 6"]	NCBI:txid409438
P29167	GAG_MLVBM	Gag polyprotein	["Core polyprotein"]	NCBI:txid31687
B1I162	RECR_DESAP	Recombination protein RecR	[]	NCBI:txid477974
Q2S6C2	HTPX_SALRD	Protease HtpX homolog	["EC:3.4.24.-"]	NCBI:txid309807
Q03195	RLI1_YEAST	Translation initiation factor RLI1	["ATP-binding cassette sub-family E member RLI1", "RNase L inhibitor"]	NCBI:txid559292
Q9KB30	REOX_BACHD	Reducing end xylose-releasing exo-oligoxylanase	["EC:3.2.1.156", "Rex"]	NCBI:txid272558
O18601	DCUP_DROVI	Uroporphyrinogen decarboxylase	["UPD", "EC:4.1.1.37", "URO-D"]	NCBI:txid7244
Q9V0V2	SYR_PYRAB	Arginine--tRNA ligase	["EC:6.1.1.19", "Arginyl-tRNA synthetase"]	NCBI:txid272844
A4VLM0	UPPP1_PSEU5	Undecaprenyl-diphosphatase 1	["Undecaprenyl pyrophosphate phosphatase 1", "Bacitracin resistance protein 1", "EC:3.6.1.27"]	NCBI:txid379731
A8DYY6	SCHI1_DROME	Schwannomin-interacting protein 1 homolog	[]	NCBI:txid7227
A7MEL5	QUEA_CROS8	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	["EC:2.4.99.17", "Queuosine biosynthesis protein QueA"]	NCBI:txid290339
O64885	BCCIP_ARATH	Protein BCCIP homolog	[]	NCBI:txid3702
A4VV36	PYRF_STRSY	Orotidine 5'-phosphate decarboxylase	["EC:4.1.1.23", "OMP decarboxylase"]	NCBI:txid391295
P63866	CRCB_SALTY	Putative fluoride ion transporter CrcB	[]	NCBI:txid99287
P82103	MYNA_MYTGA	Myticin-A (precursor)	[]	NCBI:txid29158
A1CKE0	NST1_ASPCL	Stress response protein nst1	[]	NCBI:txid344612
A6UCW1	RL31_SINMW	50S ribosomal protein L31	[]	NCBI:txid366394
A6TJ97	Y022_ALKMQ	UPF0182 protein Amet_0022	[]	NCBI:txid293826
B3DRN8	PAFA_BIFLD	Pup--protein ligase	["Proteasome accessory factor A", "Pup-conjugating enzyme", "EC:6.3.1.19"]	NCBI:txid205913
B8FM87	CH10_DESAL	10 kDa chaperonin	["Protein Cpn10", "GroES protein"]	NCBI:txid218208
Q27490	H33L1_CAEEL	Histone H3.3-like type 1	[]	NCBI:txid6239
A0A0U3AL34	ARMH4_ARMME	Flavin-dependent halogenase armH4	["ArmH4", "EC:1.14.14.-"]	NCBI:txid47429
Q0I5W5	RSMG_HAES1	Ribosomal RNA small subunit methyltransferase G	["EC:2.1.1.170", "16S rRNA 7-methylguanosine methyltransferase"]	NCBI:txid205914
P02620	PRVB_MERME	Parvalbumin beta	[]	NCBI:txid8063
Q31GW8	NQOR_HYDCU	NAD(P)H dehydrogenase (quinone)	["NAD(P)H:quinone oxidoreductase", "Flavoprotein WrbA", "EC:1.6.5.2"]	NCBI:txid317025
P34215	YBZ4_YEAST	Uncharacterized protein YBR144C	[]	NCBI:txid559292
Q5BJK8	GOLI4_RAT	Golgi integral membrane protein 4	["Golgi phosphoprotein 4", "Golgi integral membrane protein, cis"]	NCBI:txid10116
O94886	CSCL1_HUMAN	CSC1-like protein 1	["Transmembrane protein 63A"]	NCBI:txid9606
P20617	ANP8_MYOAE	Ice-structuring protein GS-8	["Antifreeze peptide GS-8", "ISP GS-8"]	NCBI:txid8096
A0AJU5	PYRR_LISW6	Bifunctional protein PyrR	[]	NCBI:txid386043
P52611	FLIH_BORBU	Flagellar assembly protein FliH	[]	NCBI:txid224326
Q04I96	MUTS_STRP2	DNA mismatch repair protein MutS	[]	NCBI:txid373153
A7MQP3	COAA_CROS8	Pantothenate kinase	["Pantothenic acid kinase", "EC:2.7.1.33"]	NCBI:txid290339
Q9XI36	MBD10_ARATH	Methyl-CpG-binding domain-containing protein 10	["AtMBD10", "Methyl-CpG-binding protein MBD10", "MBD10"]	NCBI:txid3702
A1WYZ1	RLMH_HALHL	Ribosomal RNA large subunit methyltransferase H	["23S rRNA (pseudouridine1915-N3)-methyltransferase", "EC:2.1.1.177", "23S rRNA m3Psi1915 methyltransferase", "rRNA (pseudouridine-N3-)-methyltransferase RlmH"]	NCBI:txid349124
A0KF27	RS3_AERHH	30S ribosomal protein S3	[]	NCBI:txid380703
Q864T7	B2MG_ORNAN	Beta-2-microglobulin (precursor)	[]	NCBI:txid9258
Q9MUP4	PSAJ_MESVI	Photosystem I reaction center subunit IX	["PSI-J"]	NCBI:txid41882
Q8VD98	KLRBF_MOUSE	Killer cell lectin-like receptor subfamily B member 1F	["CD161 antigen-like family member F", "Natural killer cell surface protein NKR-P1F"]	NCBI:txid10090
P38344	REI1_YEAST	Cytoplasmic 60S subunit biogenesis factor REI1	["Required for isotropic bud growth protein 1", "pre-60S factor REI1"]	NCBI:txid559292
B5YWE6	LIGB_ECO5E	DNA ligase B	["Polydeoxyribonucleotide synthase [NAD(+)] B", "EC:6.5.1.2"]	NCBI:txid444450
Q67PD8	TRMD_SYMTH	tRNA (guanine-N(1)-)-methyltransferase	["EC:2.1.1.228", "tRNA [GM37] methyltransferase", "M1G-methyltransferase"]	NCBI:txid292459
B1JWN9	Y835_BURCC	UPF0301 protein Bcenmc03_0835	[]	NCBI:txid406425
A0A411KUX1	UCSD_ACRSP	MFS-type transporter ucsD	["UCS1025A pyrrolizidinone biosynthesis cluster protein D"]	NCBI:txid5045
Q5PGG1	MUKB_SALPA	Chromosome partition protein MukB	["Structural maintenance of chromosome-related protein"]	NCBI:txid295319
B0KUU3	LPXH_PSEPG	UDP-2,3-diacylglucosamine hydrolase	["UDP-2,3-diacylglucosamine diphosphatase", "EC:3.6.1.54"]	NCBI:txid76869
P15761	RR19_CYAPA	Cyanelle 30S ribosomal protein S19	[]	NCBI:txid2762
Q6ABV4	YIDD_LEIXX	Putative membrane protein insertion efficiency factor	[]	NCBI:txid281090
Q3JYL4	RL33_STRA1	50S ribosomal protein L33	[]	NCBI:txid205921
Q8NZ43	EFTS_STRP8	Elongation factor Ts	["EF-Ts"]	NCBI:txid186103
Q9TL10	RNE_NEPOL	Ribonuclease E/G-like protein	["EC:3.1.26.-", "RNase E/G-like protein"]	NCBI:txid31312
Q55200	SPHX_SYNY3	Protein SphX (precursor)	[]	NCBI:txid1111708
A1BF34	NUOC_CHLPD	NADH-quinone oxidoreductase subunit C	["NADH dehydrogenase I subunit C", "NDH-1 subunit C", "EC:7.1.1.-"]	NCBI:txid290317
P16613	PACA_SHEEP	Pituitary adenylate cyclase-activating polypeptide	["PACAP"]	NCBI:txid9940
B2JDN6	LEU1_PARP8	2-isopropylmalate synthase	["Alpha-isopropylmalate synthase", "Alpha-IPM synthase", "EC:2.3.3.13"]	NCBI:txid391038
Q60308	Y3409_METJA	Uncharacterized protein MJECS09	[]	NCBI:txid243232
Q0UHZ9	ELCF_PHANO	Fasciclin-like arabinogalactan protein elcF (precursor)	["Elsinochrome C biosynthesis cluster protein F"]	NCBI:txid321614
A4TPJ4	AROL_YERPP	Shikimate kinase 2	["EC:2.7.1.71", "SK 2"]	NCBI:txid386656
F0JAI6	KEBAB_DROME	Kinetochore and Eb1-associated basic protein	[]	NCBI:txid7227
B1XI63	EFTU_SYNP2	Elongation factor Tu	["EF-Tu"]	NCBI:txid32049
Q577J0	LIVB7_BRUAB	Leu/Ile/Val-binding protein homolog 7 (precursor)	[]	NCBI:txid262698
Q6Z955	CKX11_ORYSJ	Cytokinin dehydrogenase 11 (precursor)	["EC:1.5.99.12", "Cytokinin oxidase 11"]	NCBI:txid39947
Q9CR20	IR3IP_MOUSE	Immediate early response 3-interacting protein 1	[]	NCBI:txid10090
P61219	RPAB2_MOUSE	DNA-directed RNA polymerases I, II, and III subunit RPABC2	["DNA-directed RNA polymerase II subunit F", "RNA polymerases I, II, and III subunit ABC2", "RPB6 homolog"]	NCBI:txid10090
Q18H64	FLPA_HALWD	Fibrillarin-like rRNA/tRNA 2'-O-methyltransferase	["EC:2.1.1.-"]	NCBI:txid362976
P51176	TGM2_BOVIN	Protein-glutamine gamma-glutamyltransferase 2	["Transglutaminase-2", "Transglutaminase C", "EC:2.3.2.13", "Tissue transglutaminase"]	NCBI:txid9913
O84130	KAD_CHLTR	Adenylate kinase	["AK", "ATP:AMP phosphotransferase", "Adenylate monophosphate kinase", "EC:2.7.4.3", "ATP-AMP transphosphorylase"]	NCBI:txid272561
M2YJD1	AVNA_DOTSN	Averantin hydroxylase	["Cytochrome P450 monooxygenase avnA", "EC:1.14.14.116", "Dothistromin biosynthesis protein avnA"]	NCBI:txid675120
D2Y1Z4	H3A06_CYRHA	Hainantoxin-III 6 (precursor)	["Mu-theraphotoxin-Hhn2a", "HnTx-III", "Peptide F7-18.76", "Hainantoxin-3.6"]	NCBI:txid209901
B0UVD9	LUXS_HISS2	S-ribosylhomocysteine lyase	["Autoinducer-2 production protein LuxS", "EC:4.4.1.21", "AI-2 synthesis protein"]	NCBI:txid228400
Q91ZA3	PCCA_MOUSE	Propionyl-CoA carboxylase alpha chain, mitochondrial (precursor)	["EC:6.4.1.3", "PCCase subunit alpha", "Propanoyl-CoA:carbon dioxide ligase subunit alpha"]	NCBI:txid10090
P97603	NEO1_RAT	Neogenin (precursor)	[]	NCBI:txid10116
Q07XS9	RS18_SHEFN	30S ribosomal protein S18	[]	NCBI:txid318167
Q4R7C8	BL1S2_MACFA	Biogenesis of lysosome-related organelles complex 1 subunit 2	["BLOC-1 subunit 2"]	NCBI:txid9541
A8Z5Z5	SECA_SULMW	Protein translocase subunit SecA	[]	NCBI:txid444179
Q54N48	CLP1_DICDI	Protein CLP1 homolog	[]	NCBI:txid44689
Q24MC2	RL9_DESHY	50S ribosomal protein L9	[]	NCBI:txid138119
C1CAF1	RPOY_STRP7	DNA-directed RNA polymerase subunit epsilon	["Transcriptase subunit epsilon", "RNAP epsilon subunit", "EC:2.7.7.6", "RNA polymerase epsilon subunit"]	NCBI:txid488221
B5BJV4	LAMB_SALPK	Maltoporin (precursor)	["Maltose-inducible porin"]	NCBI:txid554290
A3N0L8	MNMC_ACTP2	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC	["tRNA mnm(5)s(2)U biosynthesis bifunctional protein"]	NCBI:txid416269
O03171	NU3M_LATCH	NADH-ubiquinone oxidoreductase chain 3	["EC:7.1.1.2", "NADH dehydrogenase subunit 3"]	NCBI:txid7897
Q0P5B9	ANR39_BOVIN	Ankyrin repeat domain-containing protein 39	[]	NCBI:txid9913
B7GX48	PYRC_ACIB3	Dihydroorotase	["EC:3.5.2.3", "DHOase"]	NCBI:txid557600
P58847	K6PF_METAC	ADP-specific phosphofructokinase	["EC:2.7.1.146", "ADP-dependent phosphofructokinase"]	NCBI:txid188937
Q2I0M5	RSPO4_HUMAN	R-spondin-4 (precursor)	["Roof plate-specific spondin-4"]	NCBI:txid9606
P58483	Y2857_YERPE	Uncharacterized protein YPO2857/y1376/YP_2723 (precursor)	[]	NCBI:txid632
Q3URD3	SLMAP_MOUSE	Sarcolemmal membrane-associated protein	["Sarcolemmal-associated protein"]	NCBI:txid10090
P75548	HPRK_MYCPN	HPr kinase/phosphorylase	["EC:2.7.11.-", "HPr kinase/phosphatase", "EC:2.7.4.-", "HPrK/P", "HPr(Ser) kinase/phosphorylase"]	NCBI:txid272634
Q7MAW6	MIAA2_PORGI	tRNA dimethylallyltransferase 2	["Dimethylallyl diphosphate:tRNA dimethylallyltransferase 2", "EC:2.5.1.75", "Isopentenyl-diphosphate:tRNA isopentenyltransferase 2"]	NCBI:txid242619
Q06J43	CYB6_BIGNA	Cytochrome b6	[]	NCBI:txid227086
Q3ZY72	MNTP_DEHMC	Putative manganese efflux pump MntP	[]	NCBI:txid255470
B7HC95	SSPO_BACC4	Small, acid-soluble spore protein O	["SASP O"]	NCBI:txid405532
Q8PCZ5	ATPB_XANCP	ATP synthase subunit beta	["ATP synthase F1 sector subunit beta", "F-ATPase subunit beta", "EC:7.1.2.2"]	NCBI:txid190485
P95689	SYS_STAA8	Serine--tRNA ligase	["Seryl-tRNA synthetase", "Seryl-tRNA(Ser/Sec) synthetase", "EC:6.1.1.11"]	NCBI:txid93061
Q8ZBB5	RLME_YERPE	Ribosomal RNA large subunit methyltransferase E	["23S rRNA Um2552 methyltransferase", "EC:2.1.1.166", "rRNA (uridine-2'-O-)-methyltransferase"]	NCBI:txid632
C5CGH5	RS4_KOSOT	30S ribosomal protein S4	[]	NCBI:txid521045
A9A8S1	NIKR_METM6	Putative nickel-responsive regulator	[]	NCBI:txid444158
P31891	MBHL_CUPNH	Uptake hydrogenase large subunit	["Hydrogenlyase", "Membrane-bound hydrogenase large subunit", "EC:1.12.99.6"]	NCBI:txid381666
O70608	SYCP2_RAT	Synaptonemal complex protein 2	["SCP-2", "Synaptonemal complex lateral element protein"]	NCBI:txid10116
C4L4J5	HEM1_EXISA	Glutamyl-tRNA reductase	["EC:1.2.1.70", "GluTR"]	NCBI:txid360911
A2BR27	DXS_PROMS	1-deoxy-D-xylulose-5-phosphate synthase	["1-deoxyxylulose-5-phosphate synthase", "EC:2.2.1.7"]	NCBI:txid146891
Q7W2Y1	HIS5_BORPA	Imidazole glycerol phosphate synthase subunit HisH	["IGP synthase glutaminase subunit", "ImGP synthase subunit HisH", "EC:4.3.2.10", "EC:3.5.1.2", "IGP synthase subunit HisH"]	NCBI:txid257311
O52018	TBPD_HALSA	TATA-box-binding protein D	["TATA sequence-binding protein D", "Box A-binding protein D", "TATA-box factor D"]	NCBI:txid64091
O35492	CLK3_MOUSE	Dual specificity protein kinase CLK3	["EC:2.7.12.1", "CDC-like kinase 3"]	NCBI:txid10090
Q8KBS4	NUSB_CHLTE	Transcription antitermination protein NusB	["Antitermination factor NusB"]	NCBI:txid194439
B8AXC3	AP21_ORYSI	APETALA2-like protein 1	[]	NCBI:txid39946
Q3Z3K4	YCAR_SHISS	UPF0434 protein YcaR	[]	NCBI:txid300269
B8FP24	HIS6_DESHD	Imidazole glycerol phosphate synthase subunit HisF	["IGP synthase subunit HisF", "EC:4.3.2.10", "ImGP synthase subunit HisF", "IGP synthase cyclase subunit"]	NCBI:txid272564
Q6Z4N4	40G3_ORYSJ	Ricin B-like lectin R40G3	["Osr40g3"]	NCBI:txid39947
Q2KHZ2	HBS1L_BOVIN	HBS1-like protein	[]	NCBI:txid9913
C3K5A9	RF3_PSEFS	Peptide chain release factor 3	["RF-3"]	NCBI:txid216595
A8SEA1	RR14_CERDE	30S ribosomal protein S14, chloroplastic	[]	NCBI:txid4428
P75062	Y052_MYCPN	Uncharacterized lipoprotein MG040 homolog (precursor)	[]	NCBI:txid272634
Q2UD93	XLNR_ASPOR	Xylanolytic transcriptional activator xlnR	["Xylanase regulator"]	NCBI:txid510516
A7FFG7	GLND_YERP3	Bifunctional uridylyltransferase/uridylyl-removing enzyme	["Bifunctional [protein-PII] modification enzyme", "UTase/UR", "Bifunctional nitrogen sensor protein"]	NCBI:txid349747
B1XA84	CYSZ_ECODH	Sulfate transporter CysZ	[]	NCBI:txid316385
Q57ER2	RS6_BRUAB	30S ribosomal protein S6	[]	NCBI:txid262698
Q6F7N4	RIBA_ACIAD	GTP cyclohydrolase-2	["EC:3.5.4.25", "GTP cyclohydrolase II"]	NCBI:txid62977
Q83IG0	HTPX_TROW8	Protease HtpX homolog	["EC:3.4.24.-"]	NCBI:txid218496
D3ZC96	TT39B_RAT	Tetratricopeptide repeat protein 39B	["TPR repeat protein 39B"]	NCBI:txid10116
Q541A4	FOLH1_HUMAN	Glutamate carboxypeptidase 2	["Glutamate carboxypeptidase II", "Membrane glutamate carboxypeptidase", "Cell growth-inhibiting gene 27 protein", "Folylpoly-gamma-glutamate carboxypeptidase", "Folate hydrolase 1", "Prostate-specific membrane antigen", "EC:3.4.17.21", "N-acetylated-alpha-linked acidic dipeptidase I", "Pteroylpoly-gamma-glutamate carboxypeptidase"]	NCBI:txid9606
Q211U0	MURB_RHOPB	UDP-N-acetylenolpyruvoylglucosamine reductase	["EC:1.3.1.98", "UDP-N-acetylmuramate dehydrogenase"]	NCBI:txid316056
B8E3W7	RIBB_SHEB2	3,4-dihydroxy-2-butanone 4-phosphate synthase	["DHBP synthase", "EC:4.1.99.12"]	NCBI:txid407976
A6T2F6	DDL_JANMA	D-alanine--D-alanine ligase	["D-alanylalanine synthetase", "EC:6.3.2.4", "D-Ala-D-Ala ligase"]	NCBI:txid375286
P66565	RS4_STRPN	30S ribosomal protein S4	[]	NCBI:txid170187
C4XSX9	SYR_DESMR	Arginine--tRNA ligase	["EC:6.1.1.19", "Arginyl-tRNA synthetase"]	NCBI:txid573370
O94330	NAGS_SCHPO	Amino-acid acetyltransferase, mitochondrial (precursor)	["N-acetylglutamate synthase", "Arginine-requiring protein 6", "Glutamate N-acetyltransferase", "EC:2.3.1.1"]	NCBI:txid284812
C1CNB3	RL32_STRZP	50S ribosomal protein L32	[]	NCBI:txid488223
Q07E00	CAZA2_ORNAN	F-actin-capping protein subunit alpha-2	["CapZ alpha-2"]	NCBI:txid9258
P04134	NCAP_CVPPU	Nucleoprotein	["Nucleocapsid protein"]	NCBI:txid11151
A7FD47	RHLB_YERP3	ATP-dependent RNA helicase RhlB	["EC:3.6.4.13"]	NCBI:txid349747
A4QLI0	ATPF_LOBMA	ATP synthase subunit b, chloroplastic	["ATP synthase F(0) sector subunit b", "ATPase subunit I"]	NCBI:txid226051
Q4K507	COQ7_PSEF5	3-demethoxyubiquinol 3-hydroxylase	["DMQ hydroxylase", "EC:1.14.99.60", "2-nonaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase"]	NCBI:txid220664
P59231	R10A3_ARATH	60S ribosomal protein L10a-3	[]	NCBI:txid3702
Q63418	PCDH3_RAT	Protocadherin-3 (precursor)	[]	NCBI:txid10116
A1S788	RSMF_SHEAM	Ribosomal RNA small subunit methyltransferase F	["16S rRNA m5C1407 methyltransferase", "EC:2.1.1.178", "rRNA (cytosine-C(5)-)-methyltransferase RsmF"]	NCBI:txid326297
Q8Z9Z1	XYLA_YERPE	Xylose isomerase	["EC:5.3.1.5"]	NCBI:txid632
Q8E0F5	Y778_STRA5	UPF0213 protein SAG0778	[]	NCBI:txid208435
Q2P728	DSBB_XANOM	Disulfide bond formation protein B	["Disulfide oxidoreductase"]	NCBI:txid342109
B0R7F9	CAPPA_HALS3	Phosphoenolpyruvate carboxylase	["EC:4.1.1.31", "PEPCase", "PEPC"]	NCBI:txid478009
Q56JZ9	GMFG_BOVIN	Glia maturation factor gamma	["GMF-gamma"]	NCBI:txid9913
P0DM67	TX3_SELPU	Orally active insecticidal peptide-3 (precursor)	["Toxin OAIP 3"]	NCBI:txid1395661
Q0SSA1	ACP_CLOPS	Acyl carrier protein	["ACP"]	NCBI:txid289380
A0A1D6F9Y9	C92C6_MAIZE	Trimethyltridecatetraene synthase	["EC:1.14.14.58", "Cytochrome P-450 20", "Cytochrome P450 92C6"]	NCBI:txid4577
A8MRX0	GSOX5_ARATH	Flavin-containing monooxygenase FMO GS-OX5	["Flavin-monooxygenase glucosinolate S-oxygenase 5", "EC:1.14.13.237"]	NCBI:txid3702
Q85AJ9	PSAM_ANTAG	Photosystem I reaction center subunit XII	["PSI-M"]	NCBI:txid48387
Q8SV54	Y707_ENCCU	UPF0329 protein ECU07_0070	[]	NCBI:txid284813
P62449	HIS6_BACC1	Imidazole glycerol phosphate synthase subunit HisF	["ImGP synthase subunit HisF", "IGP synthase cyclase subunit", "EC:4.3.2.10", "IGP synthase subunit HisF"]	NCBI:txid222523
B9JW75	ENO_AGRVS	Enolase	["2-phosphoglycerate dehydratase", "EC:4.2.1.11", "2-phospho-D-glycerate hydro-lyase"]	NCBI:txid311402
P80911	IORB_METTM	Indolepyruvate oxidoreductase subunit IorB	["Indolepyruvate ferredoxin oxidoreductase subunit beta", "EC:1.2.7.8", "IOR"]	NCBI:txid79929
B2FL26	HFQ_STRMK	RNA-binding protein Hfq	[]	NCBI:txid522373
B2RH62	RL32_PORG3	50S ribosomal protein L32	[]	NCBI:txid431947
Q0TDV1	AC4CH_ECOL5	N(4)-acetylcytidine amidohydrolase	["ac4C amidohydrolase", "EC:3.5.1.135"]	NCBI:txid362663
Q6CXQ8	ATG27_KLULA	Autophagy-related protein 27 (precursor)	[]	NCBI:txid284590
Q85CV5	RK20_ANTAG	50S ribosomal protein L20, chloroplastic	[]	NCBI:txid48387
Q054K1	TRHO_LEPBL	tRNA uridine(34) hydroxylase	["tRNA hydroxylation protein O", "EC:1.14.-.-"]	NCBI:txid355276
Q7QGS3	NUBP2_ANOGA	Cytosolic Fe-S cluster assembly factor NUBP2 homolog	[]	NCBI:txid7165
A5DDF4	PRP5_PICGU	Pre-mRNA-processing ATP-dependent RNA helicase PRP5	["EC:3.6.4.13"]	NCBI:txid294746
P63934	DGTL1_BRUSU	Deoxyguanosinetriphosphate triphosphohydrolase-like protein	[]	NCBI:txid204722
Q5ZJI6	NATD1_CHICK	Protein NATD1	["N-acetyltransferase domain-containing protein 1"]	NCBI:txid9031
F8DVL8	ADH2_ZYMMA	Alcohol dehydrogenase 2	["Alcohol dehydrogenase II", "EC:1.1.1.1"]	NCBI:txid555217
P61299	SMS_TRASC	Somatostatin-14	[]	NCBI:txid34903
Q9JJG9	NOA1_MOUSE	Nitric oxide-associated protein 1	[]	NCBI:txid10090
A0A023PZG5	YE137_YEAST	Putative uncharacterized protein YER137W-A (precursor)	[]	NCBI:txid559292
Q4ZZK0	METN2_PSEU2	Methionine import ATP-binding protein MetN 2	["EC:7.4.2.11"]	NCBI:txid205918
P0DC91	PVAA_STRPQ	Pneumococcal vaccine antigen A homolog	[]	NCBI:txid193567
P15424	MS116_YEAST	ATP-dependent RNA helicase MSS116, mitochondrial (precursor)	["EC:3.6.4.13"]	NCBI:txid559292
A7NCX8	GSA_FRATF	Glutamate-1-semialdehyde 2,1-aminomutase	["EC:5.4.3.8", "Glutamate-1-semialdehyde aminotransferase", "GSA"]	NCBI:txid458234
Q13530	SERC3_HUMAN	Serine incorporator 3	["Tumor differentially expressed protein 1"]	NCBI:txid9606
Q5HWB8	TRPA_CAMJR	Tryptophan synthase alpha chain	["EC:4.2.1.20"]	NCBI:txid195099
A1KG30	MENC_MYCBP	o-succinylbenzoate synthase	["OSB synthase", "4-(2'-carboxyphenyl)-4-oxybutyric acid synthase", "EC:4.2.1.113", "o-succinylbenzoic acid synthase", "OSBS"]	NCBI:txid410289
Q6L2N4	GGGPS_PICTO	Geranylgeranylglyceryl phosphate synthase	["Phosphoglycerol geranylgeranyltransferase", "GGGP synthase", "GGGPS", "(S)-3-O-geranylgeranylglyceryl phosphate synthase", "EC:2.5.1.41"]	NCBI:txid263820
Q65FL6	G6PI_BACLD	Glucose-6-phosphate isomerase	["Phosphohexose isomerase", "EC:5.3.1.9", "GPI", "Phosphoglucose isomerase"]	NCBI:txid279010
P18601	ACT2_ARTSX	Actin, clone 211 (precursor)	[]	NCBI:txid6662
Q73Q17	GRPE_TREDE	Protein GrpE	["HSP-70 cofactor"]	NCBI:txid243275
Q9R1S3	PIGN_MOUSE	GPI ethanolamine phosphate transferase 1	["EC:2.-.-.-", "Phosphatidylinositol-glycan biosynthesis class N protein"]	NCBI:txid10090
A8GU86	Y660_RICB8	Nucleoid-associated protein A1I_00660	[]	NCBI:txid391896
Q3T0Q3	RPB3_BOVIN	DNA-directed RNA polymerase II subunit RPB3	["RNA polymerase II subunit 3", "RNA polymerase II subunit B3", "DNA-directed RNA polymerase II subunit C"]	NCBI:txid9913
P49435	APT1_YEAST	Adenine phosphoribosyltransferase 1	["EC:2.4.2.7", "APRT 1"]	NCBI:txid559292
